product,number_of_visiting_days,count(*)
aboutthebbc,1,6789
aboutthebbc,2,529
aboutthebbc,3,131
aboutthebbc,4,60
aboutthebbc,5,28
aboutthebbc,6,19
aboutthebbc,7,20
aboutthebbc,8,9
aboutthebbc,9,6
aboutthebbc,10,6
aboutthebbc,11,7
aboutthebbc,12,3
aboutthebbc,13,3
aboutthebbc,14,5
aboutthebbc,15,2
aboutthebbc,17,1
aboutthebbc,20,2
aboutthebbc,22,1
bbcthree,1,8261
bbcthree,2,1701
bbcthree,3,532
bbcthree,4,196
bbcthree,5,81
bbcthree,6,36
bbcthree,7,11
bbcthree,8,8
bbcthree,9,4
bbcthree,11,1
bbcthree,12,1
bbcthree,18,1
bbcthree,19,1
cbbc,1,5573
cbbc,2,840
cbbc,3,287
cbbc,4,126
cbbc,5,70
cbbc,6,58
cbbc,7,40
cbbc,8,26
cbbc,9,12
cbbc,10,14
cbbc,11,9
cbbc,12,2
cbbc,13,8
cbbc,14,6
cbbc,15,3
cbbc,16,2
cbbc,17,3
cbbc,18,1
cbbc,19,3
cbbc,21,2
cbbc,22,2
cbbc,24,1
cbbc,26,1
cbeebies,1,1498
cbeebies,2,188
cbeebies,3,68
cbeebies,4,37
cbeebies,5,18
cbeebies,6,21
cbeebies,7,19
cbeebies,8,7
cbeebies,9,8
cbeebies,10,4
cbeebies,11,3
cbeebies,12,1
cbeebies,13,2
cbeebies,14,2
cbeebies,15,2
cbeebies,17,2
cbeebies,20,1
cbeebies,24,1
cbeebies,26,1
homepageandsearch,1,17468
homepageandsearch,2,5680
homepageandsearch,3,3173
homepageandsearch,4,2170
homepageandsearch,5,1702
homepageandsearch,6,1436
homepageandsearch,7,1293
homepageandsearch,8,1275
homepageandsearch,9,1185
homepageandsearch,10,1034
homepageandsearch,11,1016
homepageandsearch,12,1069
homepageandsearch,13,1014
homepageandsearch,14,984
homepageandsearch,15,1032
homepageandsearch,16,997
homepageandsearch,17,972
homepageandsearch,18,948
homepageandsearch,19,829
homepageandsearch,20,883
homepageandsearch,21,839
homepageandsearch,22,852
homepageandsearch,23,894
homepageandsearch,24,979
homepageandsearch,25,955
homepageandsearch,26,896
homepageandsearch,27,642
iplayerradio,1,15168
iplayerradio,2,4252
iplayerradio,3,1998
iplayerradio,4,1097
iplayerradio,5,781
iplayerradio,6,598
iplayerradio,7,416
iplayerradio,8,370
iplayerradio,9,294
iplayerradio,10,244
iplayerradio,11,168
iplayerradio,12,181
iplayerradio,13,131
iplayerradio,14,110
iplayerradio,15,98
iplayerradio,16,76
iplayerradio,17,55
iplayerradio,18,45
iplayerradio,19,49
iplayerradio,20,40
iplayerradio,21,33
iplayerradio,22,27
iplayerradio,23,28
iplayerradio,24,20
iplayerradio,25,16
iplayerradio,26,9
iplayerradio,27,5
kl-arts,1,1653
kl-arts,2,19
kl-arts,3,5
kl-arts,4,1
kl-bitesize,1,2227
kl-bitesize,2,147
kl-bitesize,3,34
kl-bitesize,4,9
kl-bitesize,5,8
kl-bitesize,6,7
kl-bitesize,7,2
kl-bitesize,8,3
kl-bitesize,9,1
kl-earth,1,1780
kl-earth,2,75
kl-earth,3,13
kl-earth,4,1
kl-earth,5,2
kl-earth,6,2
kl-earth,8,1
kl-earth,9,1
kl-earth,11,1
kl-food,1,4085
kl-food,2,639
kl-food,3,230
kl-food,4,99
kl-food,5,60
kl-food,6,41
kl-food,7,26
kl-food,8,13
kl-food,9,7
kl-food,10,8
kl-food,11,4
kl-food,12,4
kl-food,13,3
kl-food,14,1
kl-food,15,2
