Hour,platform,frequency
"2016-06-13 00",Mobile,9488
"2016-06-13 01",Mobile,4304
"2016-06-13 02",Computer,2750
"2016-06-13 03",Tablet,2140
"2016-06-13 04",Tablet,2468
"2016-06-13 05",Computer,4973
"2016-06-13 06",Mobile,13371
"2016-06-13 07",Mobile,23778
"2016-06-13 08",Computer,26786
"2016-06-13 09",Computer,27489
"2016-06-13 10",Mobile,26961
"2016-06-13 11",Tablet,27953
"2016-06-13 12",Tablet,35899
"2016-06-13 13",Computer,36234
"2016-06-13 14",Computer,34670
"2016-06-13 15",Computer,41324
"2016-06-13 16",Tablet,40761
"2016-06-13 17",Tablet,37578
"2016-06-13 18",Tablet,39277
"2016-06-13 19",Tablet,35755
"2016-06-13 20",Tablet,37441
"2016-06-13 21",Computer,36983
"2016-06-13 22",Mobile,30913
"2016-06-13 23",Mobile,16829
"2016-06-14 00",Tablet,8807
"2016-06-14 01",Tablet,4383
"2016-06-14 02",Mobile,2710
"2016-06-14 03",Mobile,1906
"2016-06-14 04",Computer,2307
"2016-06-14 05",Mobile,5013
"2016-06-14 06",Mobile,13319
"2016-06-14 07",Mobile,23682
"2016-06-14 08",Computer,25944
"2016-06-14 09",Computer,25806
"2016-06-14 10",Computer,23691
"2016-06-14 11",Computer,26731
"2016-06-14 12",Computer,40770
"2016-06-14 13",Computer,32865
"2016-06-14 14",Mobile,27225
"2016-06-14 15",Mobile,29742
"2016-06-14 16",Mobile,33738
"2016-06-14 17",Unspecified,34299
"2016-06-14 18",Tablet,37036
"2016-06-14 19",Mobile,36408
"2016-06-14 20",Computer,38153
"2016-06-14 21",Mobile,41628
"2016-06-14 22",Mobile,32246
"2016-06-14 23",Computer,17854
"2016-06-15 00",Tablet,8649
"2016-06-15 01",Computer,4021
"2016-06-15 02",Unspecified,3154
"2016-06-15 03",Tablet,2942
"2016-06-15 04",Computer,3160
"2016-06-15 05",Computer,5637
"2016-06-15 06",Mobile,13388
"2016-06-15 07",Mobile,24709
"2016-06-15 08",Tablet,25909
"2016-06-15 09",Unspecified,43420
"2016-06-15 10",Unspecified,31349
"2016-06-15 11",Computer,29996
"2016-06-15 12",Computer,35653
"2016-06-15 13",Computer,36442
"2016-06-15 14",Computer,35150
"2016-06-15 15",Computer,44239
"2016-06-15 16",Computer,42435
"2016-06-15 17",Mobile,42007
"2016-06-15 18",Computer,43583
"2016-06-15 19",Tablet,41273
"2016-06-15 20",Mobile,41582
"2016-06-15 21",Mobile,47390
"2016-06-15 22",Unspecified,38466
"2016-06-15 23",Mobile,19338
"2016-06-16 00",Computer,8889
"2016-06-16 01",Mobile,4259
"2016-06-16 02",Tablet,2845
"2016-06-16 03",Mobile,2278
"2016-06-16 04",Mobile,2614
"2016-06-16 05",Tablet,5264
"2016-06-16 06",Computer,13788
"2016-06-16 07",Mobile,23195
"2016-06-16 08",Computer,24768
"2016-06-16 09",Tablet,23589
"2016-06-16 10",Computer,23144
"2016-06-16 11",Unspecified,23451
"2016-06-16 12",Mobile,31019
"2016-06-16 13",Computer,38488
"2016-06-16 14",Computer,42871
"2016-06-16 15",Mobile,58461
"2016-06-16 16",Tablet,51183
"2016-06-16 17",Computer,45484
"2016-06-16 18",Computer,46815
"2016-06-16 19",Computer,42230
"2016-06-16 20",Mobile,42304
"2016-06-16 21",Unspecified,45649
"2016-06-16 22",Mobile,33866
"2016-06-16 23",Tablet,17950
"2016-06-17 00",Mobile,9707
"2016-06-17 01",Mobile,4729
"2016-06-17 02",Unspecified,2976
"2016-06-17 03",Mobile,2439
"2016-06-17 04",Computer,2407
"2016-06-17 05",Tablet,5647
"2016-06-17 06",Computer,14545
"2016-06-17 07",Mobile,26469
"2016-06-17 08",Computer,28074
"2016-06-17 09",Mobile,27781
"2016-06-17 10",Mobile,25722
"2016-06-17 11",Computer,26230
"2016-06-17 12",Computer,30910
"2016-06-17 13",Tablet,31933
"2016-06-17 14",Unspecified,32047
"2016-06-17 15",Mobile,40800
"2016-06-17 16",Mobile,40336
"2016-06-17 17",Mobile,36241
"2016-06-17 18",Mobile,37654
"2016-06-17 19",Tablet,39222
"2016-06-17 20",Computer,42988
"2016-06-17 21",Computer,46046
"2016-06-17 22",Mobile,33248
"2016-06-17 23",Computer,21833
"2016-06-18 00",Mobile,12232
"2016-06-18 01",Mobile,6377
"2016-06-18 02",Tablet,3877
"2016-06-18 03",Mobile,2708
"2016-06-18 04",Mobile,2501
"2016-06-18 05",Computer,4690
"2016-06-18 06",Mobile,10453
"2016-06-18 07",Unspecified,20535
"2016-06-18 08",Tablet,28370
"2016-06-18 09",Tablet,29313
"2016-06-18 10",Mobile,30065
"2016-06-18 11",Tablet,31189
"2016-06-18 12",Mobile,34838
"2016-06-18 13",Tablet,34800
"2016-06-18 14",Unspecified,34278
"2016-06-18 15",Mobile,45292
"2016-06-18 16",Tablet,38654
"2016-06-18 17",Tablet,38404
"2016-06-18 18",Computer,39652
"2016-06-18 19",Tablet,32961
"2016-06-18 20",Tablet,32503
"2016-06-18 21",Mobile,38511
"2016-06-18 22",Tablet,32110
"2016-06-18 23",Mobile,22197
"2016-06-19 00",Mobile,13116
"2016-06-19 01",Unspecified,6809
"2016-06-19 02",Tablet,4060
"2016-06-19 03",Computer,2684
"2016-06-19 04",Computer,2388
"2016-06-19 05",Mobile,4020
"2016-06-19 06",Computer,7970
"2016-06-19 07",Unspecified,17106
"2016-06-19 08",Unspecified,27390
"2016-06-19 09",Mobile,29614
"2016-06-19 10",Computer,28146
