Hour,platform,frequency
"2016-06-13 00","Big screen",3
"2016-06-13 00",Computer,3582
"2016-06-13 00",Mobile,2892
"2016-06-13 00",Tablet,2696
"2016-06-13 00",Unknown,1
"2016-06-13 00",Unspecified,314
"2016-06-13 01",Computer,1700
"2016-06-13 01",Mobile,1269
"2016-06-13 01",Tablet,1250
"2016-06-13 01",Unspecified,85
"2016-06-13 02",,1
"2016-06-13 02",Computer,1080
"2016-06-13 02",Mobile,783
"2016-06-13 02",Tablet,822
"2016-06-13 02",Unknown,2
"2016-06-13 02",Unspecified,62
"2016-06-13 03",,1
"2016-06-13 03",Computer,720
"2016-06-13 03",Mobile,700
"2016-06-13 03",Tablet,647
"2016-06-13 03",Unspecified,72
"2016-06-13 04",Computer,819
"2016-06-13 04",Mobile,789
"2016-06-13 04",Tablet,729
"2016-06-13 04",Unspecified,131
"2016-06-13 05","Big screen",11
"2016-06-13 05",Computer,1455
"2016-06-13 05",Mobile,1844
"2016-06-13 05",Tablet,1470
"2016-06-13 05",Unknown,1
"2016-06-13 05",Unspecified,192
"2016-06-13 06","Big screen",6
"2016-06-13 06",Computer,3546
"2016-06-13 06",Mobile,4762
"2016-06-13 06",Tablet,4597
"2016-06-13 06",Unknown,9
"2016-06-13 06",Unspecified,451
"2016-06-13 07","Big screen",15
"2016-06-13 07",Computer,7731
"2016-06-13 07",Mobile,7637
"2016-06-13 07",Tablet,7757
"2016-06-13 07",Unknown,5
"2016-06-13 07",Unspecified,633
"2016-06-13 08","Big screen",4
"2016-06-13 08",Computer,12565
"2016-06-13 08",Mobile,6339
"2016-06-13 08",Tablet,7029
"2016-06-13 08",Unknown,7
"2016-06-13 08",Unspecified,842
"2016-06-13 09",,13
"2016-06-13 09","Big screen",1
"2016-06-13 09",Computer,16544
"2016-06-13 09",Mobile,4896
"2016-06-13 09",Tablet,5012
"2016-06-13 09",Unknown,2
"2016-06-13 09",Unspecified,1021
"2016-06-13 10","Big screen",1
"2016-06-13 10",Computer,16037
"2016-06-13 10",Mobile,4796
"2016-06-13 10",Tablet,5136
"2016-06-13 10",Unknown,5
"2016-06-13 10",Unspecified,986
"2016-06-13 11",,2
"2016-06-13 11","Big screen",9
"2016-06-13 11",Computer,16529
"2016-06-13 11",Mobile,4690
"2016-06-13 11",Tablet,5753
"2016-06-13 11",Unknown,7
"2016-06-13 11",Unspecified,963
"2016-06-13 12",,2
"2016-06-13 12","Big screen",13
"2016-06-13 12",Computer,21775
"2016-06-13 12",Mobile,6195
"2016-06-13 12",Tablet,6898
"2016-06-13 12",Unknown,2
"2016-06-13 12",Unspecified,1014
"2016-06-13 13",,4
"2016-06-13 13","Big screen",4
"2016-06-13 13",Computer,21184
"2016-06-13 13",Mobile,6474
"2016-06-13 13",Tablet,7683
"2016-06-13 13",Unknown,6
"2016-06-13 13",Unspecified,879
"2016-06-13 14",,15
"2016-06-13 14","Big screen",10
"2016-06-13 14",Computer,18113
"2016-06-13 14",Mobile,6814
"2016-06-13 14",Tablet,8768
"2016-06-13 14",Unknown,3
"2016-06-13 14",Unspecified,947
"2016-06-13 15",,6
"2016-06-13 15","Big screen",19
"2016-06-13 15",Computer,19910
"2016-06-13 15",Mobile,8990
"2016-06-13 15",Tablet,11266
"2016-06-13 15",Unknown,3
"2016-06-13 15",Unspecified,1130
"2016-06-13 16",,6
"2016-06-13 16","Big screen",10
"2016-06-13 16",Computer,20479
"2016-06-13 16",Mobile,8711
"2016-06-13 16",Tablet,10257
"2016-06-13 16",Unknown,16
"2016-06-13 16",Unspecified,1282
"2016-06-13 17","Big screen",10
"2016-06-13 17",Computer,15571
"2016-06-13 17",Mobile,9914
"2016-06-13 17",Tablet,11091
"2016-06-13 17",Unknown,3
"2016-06-13 17",Unspecified,989
"2016-06-13 18","Big screen",13
"2016-06-13 18",Computer,12303
"2016-06-13 18",Mobile,11821
"2016-06-13 18",Tablet,13958
"2016-06-13 18",Unknown,3
"2016-06-13 18",Unspecified,1179
"2016-06-13 19","Big screen",10
"2016-06-13 19",Computer,13410
"2016-06-13 19",Mobile,9961
"2016-06-13 19",Tablet,11226
"2016-06-13 19",Unknown,5
"2016-06-13 19",Unspecified,1143
"2016-06-13 20","Big screen",10
"2016-06-13 20",Computer,12147
"2016-06-13 20",Mobile,11134
"2016-06-13 20",Tablet,13031
"2016-06-13 20",Unknown,5
"2016-06-13 20",Unspecified,1114
"2016-06-13 21","Big screen",15
"2016-06-13 21",Computer,10963
"2016-06-13 21",Mobile,11039
"2016-06-13 21",Tablet,13901
"2016-06-13 21",Unknown,2
"2016-06-13 21",Unspecified,1063
"2016-06-13 22","Big screen",35
"2016-06-13 22",Computer,11390
"2016-06-13 22",Mobile,8753
"2016-06-13 22",Tablet,9829
"2016-06-13 22",Unknown,10
"2016-06-13 22",Unspecified,896
"2016-06-13 23","Big screen",31
"2016-06-13 23",Computer,6004
"2016-06-13 23",Mobile,5215
"2016-06-13 23",Tablet,5123
"2016-06-13 23",Unknown,1
"2016-06-13 23",Unspecified,455
"2016-06-14 00","Big screen",2
"2016-06-14 00",Computer,2518
"2016-06-14 00",Mobile,2905
"2016-06-14 00",Tablet,2231
"2016-06-14 00",Unknown,11
"2016-06-14 00",Unspecified,1140
"2016-06-14 01","Big screen",20
"2016-06-14 01",Computer,1460
"2016-06-14 01",Mobile,1354
"2016-06-14 01",Tablet,1035
"2016-06-14 01",Unspecified,514
"2016-06-14 02","Big screen",15
"2016-06-14 02",Computer,731
"2016-06-14 02",Mobile,918
"2016-06-14 02",Tablet,680
"2016-06-14 02",Unspecified,366
"2016-06-14 03",Computer,499
"2016-06-14 03",Mobile,726
"2016-06-14 03",Tablet,458
"2016-06-14 03",Unspecified,223
"2016-06-14 04",Computer,581
"2016-06-14 04",Mobile,834
"2016-06-14 04",Tablet,626
"2016-06-14 04",Unspecified,266
"2016-06-14 05","Big screen",1
"2016-06-14 05",Computer,1375
"2016-06-14 05",Mobile,1693
"2016-06-14 05",Tablet,1511
"2016-06-14 05",Unknown,1
"2016-06-14 05",Unspecified,432
"2016-06-14 06","Big screen",26
"2016-06-14 06",Computer,3020
"2016-06-14 06",Mobile,4523
"2016-06-14 06",Tablet,4572
"2016-06-14 06",Unknown,3
"2016-06-14 06",Unspecified,1175
"2016-06-14 07","Big screen",21
"2016-06-14 07",Computer,6306
"2016-06-14 07",Mobile,7407
"2016-06-14 07",Tablet,7688
"2016-06-14 07",Unknown,10
"2016-06-14 07",Unspecified,2250
"2016-06-14 08",,4
"2016-06-14 08","Big screen",10
"2016-06-14 08",Computer,10275
"2016-06-14 08",Mobile,6101
"2016-06-14 08",Tablet,6496
"2016-06-14 08",Unknown,6
"2016-06-14 08",Unspecified,3052
"2016-06-14 09","Big screen",6
"2016-06-14 09",Computer,12883
"2016-06-14 09",Mobile,4860
