Hour,product,frequency
"2016-06-13 00",aboutthebbc,18
"2016-06-13 00",bbcthree,4
"2016-06-13 00",cbbc,1
"2016-06-13 00",cbeebies,1
"2016-06-13 00",homepageandsearch,784
"2016-06-13 00",iplayerradio,116
"2016-06-13 00",kl-earth,1
"2016-06-13 00",kl-food,10
"2016-06-13 00",kl-iwonder,2
"2016-06-13 00",music,29
"2016-06-13 00",N/A,115
"2016-06-13 00",news,1149
"2016-06-13 00",newsbeat,1
"2016-06-13 00",sport,6329
"2016-06-13 00",taster,4
"2016-06-13 00",tvandiplayer,806
"2016-06-13 00",UNKNOWN,5
"2016-06-13 00",weather,113
"2016-06-13 01",aboutthebbc,4
"2016-06-13 01",bbcthree,1
"2016-06-13 01",cbbc,12
"2016-06-13 01",homepageandsearch,304
"2016-06-13 01",iplayerradio,127
"2016-06-13 01",kl-food,1
"2016-06-13 01",kl-iwonder,3
"2016-06-13 01",music,58
"2016-06-13 01",N/A,47
"2016-06-13 01",news,529
"2016-06-13 01",sport,2812
"2016-06-13 01",tvandiplayer,362
"2016-06-13 01",weather,44
"2016-06-13 02",aboutthebbc,3
"2016-06-13 02",bbcthree,2
"2016-06-13 02",homepageandsearch,172
"2016-06-13 02",iplayerradio,90
"2016-06-13 02",kl-bitesize,9
"2016-06-13 02",kl-earth,1
"2016-06-13 02",kl-food,3
"2016-06-13 02",kl-iwonder,2
"2016-06-13 02",music,5
"2016-06-13 02",N/A,47
"2016-06-13 02",news,377
"2016-06-13 02",sport,1739
"2016-06-13 02",taster,1
"2016-06-13 02",tvandiplayer,275
"2016-06-13 02",UNKNOWN,4
"2016-06-13 02",weather,20
"2016-06-13 03",aboutthebbc,9
"2016-06-13 03",bbcthree,1
"2016-06-13 03",cbbc,6
"2016-06-13 03",homepageandsearch,133
"2016-06-13 03",iplayerradio,34
"2016-06-13 03",kl-bitesize,3
"2016-06-13 03",kl-iwonder,2
"2016-06-13 03",kl-legacy,3
"2016-06-13 03",music,6
"2016-06-13 03",N/A,45
"2016-06-13 03",news,250
"2016-06-13 03",sport,1430
"2016-06-13 03",tvandiplayer,198
"2016-06-13 03",weather,20
"2016-06-13 04",aboutthebbc,4
"2016-06-13 04",homepageandsearch,238
